GEOID,representative,party,cd
50000US3712,Alma Adams,Democratic,North Carolina - 12th
50000US0637,Karen Bass,Democratic,California - 37th
50000US3903,Joyce Beatty,Democratic,Ohio - 3rd
50000US1302,Sanford Bishop,Democratic,Georgia - 2nd
50000US1001,Lisa Blunt Rochester,Democratic,Delaware - 1st
50000US2404,Anthony Brown,Democratic,Maryland - 4th
50000US3701,G. K. Butterfield,Democratic,North Carolina - 1st
50000US1807,Andre Carson,Democratic,Indiana - 7th
50000US3609,Yvette Clarke,Democratic,New York - 9th
50000US2901,William Lacy Clay Jr.,Democratic,Missouri - 1st
50000US2905,Emanuel Cleaver,Democratic,Missouri - 5th
50000US4506,James Clyburn,Democratic,South Carolina - 6th
50000US2613,John Conyers,Democratic,Michigan - 13th
50000US2407,Elijah Cummings,Democratic,Maryland - 7th
50000US1707,Danny Davis,Democratic,Illinois - 7th
50000US1210,Val Demings,Democratic,Florida - 10th
50000US2705,Keith Ellison,Democratic,Minnesota - 5th
50000US4202,Dwight Evans,Democratic,Pennsylvania - 2nd
50000US3911,Marcia Fudge,Democratic,Ohio - 11th
50000US4809,Al Green,Democratic,Texas - 9th
50000US1220,Alcee Hastings,Democratic,Florida - 20th
50000US4823,Will Hurd,Republican,Texas - 23rd
50000US3608,Hakeem Jeffries,Democratic,New York - 8th
50000US4830,Eddie Bernice Johnson,Democratic,Texas - 30th
50000US1304,Hank Johnson,Democratic,Georgia - 4th
50000US1702,Robin Kelly,Democratic,Illinois - 2nd
50000US2614,Brenda Lawrence,Democratic,Michigan - 14th
50000US1205,Al Lawson,Democratic,Florida - 5th
50000US0613,Barbara Lee,Democratic,California - 13th
50000US4818,Sheila Jackson Lee,Democratic,Texas - 18th
50000US1305,John Lewis,Democratic,Georgia -Â 5th
50000US4904,Mia Love,Republican,Utah - 4th
50000US5104,Donald McEachin,Democratic,Virginia - 4th
50000US3605,Gregory Meeks,Democratic,New York - 5th
50000US5504,Gwen Moore,Democratic,Wisconsin - 4th
50000US3410,Donald Payne,Democratic,New Jersey - 10th
50000US2202,Cedric Richmond,Democratic,Louisiana - 2nd
50000US1701,Bobby Rush,Democratic,Illinois - 1st
50000US5103,Bobby Scott,Democratic,Virginia - 3rd
50000US1313,David Scott,Democratic,Georgia - 13th
50000US0107,Terri Sewell,Democratic,Alabama - 7th
50000US2802,Bennie Thompson,Democratic,Mississippi - 2nd
50000US4833,Marc Veasey,Democratic,Texas - 33rd
50000US0643,Maxine Waters,Democratic,California - 43rd
50000US3412,Bonnie Watson Coleman,Democratic,New Jersey - 12th
50000US1224,Frederica Wilson,Democratic,Florida - 24th
